Summons Number,Plate ID,Registration State,Plate Type,Issue Date,Violation Code,Vehicle Body Type,Vehicle Make,Issuing Agency,Street Code1,Street Code2,Street Code3,Vehicle Expiration Date,Violation Location,Violation Precinct,Issuer Precinct,Issuer Code,Issuer Command,Issuer Squad,Violation Time,Time First Observed,Violation County,Violation In Front Of Or Opposite,House Number,Street Name,Intersecting Street,Date First Observed,Law Section,Sub Division,Violation Legal Code,Days Parking In Effect    ,From Hours In Effect,To Hours In Effect,Vehicle Color,Unregistered Vehicle?,Vehicle Year,Meter Number,Feet From Curb,Violation Post Code,Violation Description,No Standing or Stopping Violation,Hydrant Violation,Double Parking Violation
4808650230,HRW9918,NY,PAS,10/27/2022,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,1152A,,ST,,,EB GREELEY AVE @ SAN,ILAC ST,0,1180,B,T,,,,WH,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9002673541,EKZ4308,NY,PAS,07/29/2022,74,SUBN,ROVER,T,36080,77030,39350,20220923,61.0,61,61,368514,T802,B,0949P,,K,O,2832,E 28th St,,0,408,J2,,YYYYYYY,,,BL,,2004,,0,CC2,74A-Improperly Displayed Plate,,,
4805647474,HJR3174,PA,PAS,10/11/2022,36,SDN,INFIN,V,0,0,0,0,,0,0,0,,,1138A,,BX,,,SB BRUCKNER BLVD @ H,OLLYWOOD AVE,0,1180,B,T,,,,,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4818958694,KKD9715,NY,PAS,12/24/2022,36,SUBN,ROVER,V,0,0,0,0,,0,0,0,,,1100P,,QN,,,NB CROSS BAY BLVD @,159TH AVE,0,1180,B,T,,,,WH,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
5122021284,KFL2775,NY,PAS,07/09/2022,7,SUBN,CHEVR,V,0,0,0,0,,0,0,0,,,1022P,,BK,,,FLATBUSH AVE (N/B) @, GLENWOOD RD,0,1111,D,T,,,,WH,,2010,,0,,FAILURE TO STOP AT RED LIGHT,,,
9021357689,59667MD,NY,COM,12/08/2022,42,VAN,CHEVR,T,34050,10610,10810,20230630,6.0,6,6,373749,T102,R,0603P,0557P,NY,F,212,W 14th St,,0,408,H1,, YYYYYY,0600A,1000P,WH,,2006,106426.0,0,54,42-Exp Meter (Com Zone),,,
2007840145,HKF6860,NY,PAS,09/15/2022,21,SUBN,CHEVR,S,86530,23330,54070,20220915,71.0,71,0,584978,KN09,,1136A,00000,Kings,F,1433,UNION STREET,,0,408,d1,,Y  Y,1100A,1230P,BL,,2002,,0,,No Parking Street Cleaning,,,
4812589666,136LH4,MA,PAS,11/18/2022,36,UT,INFIN,V,0,0,0,0,,0,0,0,,,0151P,,BK,,,SB KINGS HWY @ E 95T,H ST,0,1180,B,T,,,,,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4808042095,KEM6376,NY,PAS,10/24/2022,36,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0527A,,BX,,,NB UNIONPORT RD @ GU,ERLAIN ST,0,1180,B,T,,,,BL,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4797419313,2AAAD8,CT,PAS,09/01/2022,36,UT,KIA,V,0,0,0,0,,0,0,0,,,0818A,,BX,,,SB HENRY HUDSON PKWY, W @ MANHATTAN COLLE,0,1180,B,T,,,,,,2012,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9012407084,EBV9231,NY,PAS,10/10/2022,40,4DSD,NISSA,T,73430,0,0,20230815,73.0,73,73,368930,T301,N,0138P,,K,I,E,Rochester Ave,13ft S/of Bergen St,0,408,E2,,YYYYYYY,,,GY,,2005,,4,L,40-Fire Hydrant,,,
4791046778,2JAYS,NY,SPO,08/04/2022,36,SUBN,JEEP,V,0,0,0,0,,0,0,0,,,0223A,,QN,,,SB BAISLEY BLVD @ 16,0TH ST,0,1180,B,T,,,,WH,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4822243576,RR8K51,PA,PAS,01/12/2023,36,SW,PORSC,V,0,0,0,0,,0,0,0,,,0239P,,BX,,,SB BRUCKNER BLVD @ H,OLLYWOOD AVE,0,1180,B,T,,,,,,2015,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9023213440,NDN2006,TX,PAS,12/22/2022,20,SUBN,NISSA,T,59020,74400,74400,88888888,46.0,46,46,365824,T201,O,0711A,,BX,F,1473,Popham Ave,,0,408,D,,YYYYYYY,,,WHITE,,0,,0,46,20A-No Parking (Non-COM),,,
4789799013,HXL7205,NY,PAS,08/03/2022,36,SUBN,KIA,V,0,0,0,0,,0,0,0,,,0110P,,ST,,,EB WOODROW RD @ WINA,NT AV,0,1180,B,T,,,,GY,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785131720,GNW5264,NY,PAS,06/30/2022,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,1025A,,BK,,,EB 65TH ST @ 16TH AV,E,0,1180,B,T,,,,GY,,2017,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4802074414,JJK8867,NY,PAS,09/22/2022,36,SUBN,SUBAR,V,0,13665,0,0,,0,0,0,,,0917A,,QN,,,EB QUEENS BLVD @ 63R,D RD,0,1180,B,T,,,,GY,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9005012687,BXV3730,NY,PAS,09/09/2022,71,SUBN,LEXUS,T,10290,28940,24740,20240821,109.0,109,109,363917,T401,YP,0241P,,Q,F,171-67,46th Ave,,0,408,J6,,YYYYYYY,,,BK,,2015,,0,Z,71A-Insp Sticker Expired (NYS),,,
4811235149,HJZ4225,NY,PAS,11/08/2022,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0644A,,ST,,,NB STEUBEN ST @ RADC,LIFF RD,0,1180,B,T,,,,WH,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9019953291,KSS8073,NY,PAS,12/13/2022,74,4DSD,BMW,T,37380,14230,14280,20240223,63.0,63,63,367341,T302,A,0821A,,K,F,1425,E 58th St,,0,408,J2,,YYYYYYY,,,BK,,2020,,0,35,74-Missing Display Plate,,,
4785455809,KHA4484,NY,PAS,07/01/2022,36,SUBN,HONDA,V,0,0,0,0,,0,0,0,,,0759P,,MN,,,SB 12TH AVE @ W 23RD, ST,0,1180,B,T,,,,GR,,2009,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9015288422,KLT8888,NY,PAS,11/15/2022,31,4DSD,TOYOT,T,34310,13610,10510,20230731,13.0,13,13,367399,T102,E,0249P,,NY,F,28,W 27th St,,0,408,L3,, YYYYY,0800A,0700P,GY,,2007,,0,99,31-No Stand (Com. Mtr. Zone),,,
5122168520,DAV4132,NY,ORG,07/17/2022,7,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0212P,,ST,,,ARTHUR KILL RD (W/B), @ RICHMOND AVE,0,1111,D,T,,,,GY,,2019,,0,,FAILURE TO STOP AT RED LIGHT,,,
4024559254,KVT6229,NY,PAS,06/02/2022,5,4DSD,ME/BE,V,0,0,0,0,,0,0,0,,,1047A,,MN,,,WB W 181ST ST @ AUDU,BON AVE,0,1111,C,T,,,,WH,,2010,,0,,BUS LANE VIOLATION,,,
9005240908,KJM9141,NY,PAS,08/29/2022,21,4DSD,BMW,T,68720,26550,76950,20230420,41.0,41,41,364909,MTTF,D,0839A,,BX,F,975,Tiffany St,,0,408,D1,, Y  Y,0800A,0930A,GY,,2018,,0,01,21-No Parking (street clean),,,
8816899293,9ES3728,MD,PAS,07/24/2022,19,SUBN,JEEP,T,34490,10610,10810,20230988,14.0,14,14,347687,MTTF,C,1043A,,NY,O,207,W 36th St,,0,408,C3,,YYYYYYY,,,RED,,0,,0,11,19-No Stand (bus stop),,,
4821544465,T769378C,NY,OMT,01/05/2023,36,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,1141P,,QN,,,NB CROSS BAY BLVD @,159TH AVE,0,1180,B,T,,,,GY,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
2006949603,KMX3812,NY,PAS,08/01/2022,21,SUBN,HYUND,S,8980,5430,5580,20231103,67.0,67,0,0,BX09,,0912A,00000,Kings,F,450,48 STREET,,0,408,d1,,Y  Y,0900A,1030A,BL,,0,,0,,No Parking Street Cleaning,,,
9025039078,DNV1670,NY,PAS,12/22/2022,19,SUBN,TOYOT,T,50290,25140,25150,20240815,107.0,107,107,372277,T402,P,0251P,,Q,F,18304,Horace Harding Expy,,0,408,C3,,YYYYYYY,,,GR,,1995,,0,G,19-No Stand (bus stop),,,
4799232976,KMU6580,NY,PAS,09/06/2022,36,SUBN,KIA,V,0,0,0,0,,0,0,0,,,0540P,,BX,,,SB BROADWAY @ 252ND,ST,0,1180,B,T,,,,GY,,2023,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4806367539,ERR1858,NY,PAS,10/15/2022,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0951P,,MN,,,SB FDR DR @ E HOUSTO,N ST,0,1180,B,T,,,,RD,,2002,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4805377033,TYP2200,VA,PAS,10/10/2022,36,SU,CHEVR,V,10810,40404,40404,0,,0,0,0,,,0111A,,BK,,,EB 65TH ST @ 8TH AVE,,0,1180,B,T,,,,WHI,,2022,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4803537926,JLD9482,NY,PAS,09/27/2022,36,CONV,BUICK,V,0,0,0,0,,0,0,0,,,0415P,,BK,,,SB ADAMS ST @ JOHNSO,N ST,0,1180,B,T,,,,GY,,2016,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8829185309,JKN4375,NY,PAS,11/28/2022,71,SUBN,HONDA,T,44750,10575,10575,20230903,121.0,121,121,368581,T303,E,0401P,,R,F,2655,Richmond Ave,,0,408,J6,,YYYYYYY,,,GY,,2003,,0,09-P,71A-Insp Sticker Expired (NYS),,,
4790025135,JAE7521,NY,PAS,08/04/2022,36,4DSD,TOYOT,V,0,0,0,0,,0,0,0,,,0300P,,BK,,,WB LINDEN BLVD @ LIN,COLN AVE,0,1180,B,T,,,,BL,,2003,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8891195261,KSP9449,NY,PAS,07/11/2022,20,SUBN,GMC,T,23230,45930,55730,20230228,83.0,83,83,368610,T301,Q,0957A,,K,F,1285,Broadway,,0,408,D,,YYYYYYY,,,BL,,2007,,0,11,20A-No Parking (Non-COM),,,
9012656310,DNM4243,NY,PAS,10/10/2022,14,SUBN,GMC,T,83130,0,0,20240626,76.0,76,76,362538,T302,M,1002A,,K,I,N,Sullivan St,5ft E/of Richards St,0,408,C,,YYYYYYY,,,GY,,2005,,0,C1,14-No Standing,,,
4820337889,JHP2103,NC,PAS,01/01/2023,36,4S,CHEVR,V,0,0,0,0,,0,0,0,,,0644A,,BK,,,SB MARCUS GARVEY BLV,D @ PARK AVE,0,1180,B,T,,,,,,2012,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8857644935,85574NC,NY,COM,07/25/2022,69,VAN,ME/BE,T,17590,25390,27800,20240430,14.0,14,14,369626,T102,P,1255P,,NY,F,28,E 30th St,,0,408,H1,, YYYYY,0800A,0600P,WH,,2021,102583,0,99,69-Fail to Dsp Prking Mtr Rcpt,,,
4027127249,KER5412,NY,PAS,10/30/2022,5,SUBN,LEXUS,V,0,0,0,0,,0,0,0,,,0320P,,MN,,,WB E 14TH STREET @ I,RVING PL,0,1111,C,T,,,,BK,,2009,,0,,BUS LANE VIOLATION,,,
9021519483,495102T,NJ,PAS,11/28/2022,21,4DSD,LEXUS,T,83430,73470,82230,88888888,73.0,73,73,357358,T301,D,1009A,,K,F,355,Sumpter St,,0,408,D1,, Y  Y,0930A,1130A,BLACK,,0,,0,R,21-No Parking (street clean),,,
9023869618,Z21NZP,NJ,PAS,12/24/2022,14,SUBN,ROVER,T,61830,61930,49630,88888888,84.0,84,84,369595,T802,B,0918P,,K,F,57,Montague St,,0,408,C,,YYYYYYY,,,BLUE,,0,,0,CC2,14-No Standing,,,
8500694622,KPH9106,NY,PAS,10/19/2022,71,SUBN,ACURA,T,75020,14920,43920,20230725,50.0,50,50,371727,T201,Q,0127P,,BX,O,235,W 233rd St,,0,408,J6,,YYYYYYY,,,BK,,2021,,0,08,71A-Insp Sticker Expired (NYS),,,
4796253981,LXF7308,PA,PAS,08/29/2022,36,SDN,CHEVR,V,0,0,0,0,,0,0,0,,,0208A,,BK,,,EB S CONDUIT AVE @ S,UTTER AVE,0,1180,B,T,,,,,,2022,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4809509928,KZK6794,NY,PAS,11/01/2022,36,4DSD,DODGE,V,0,0,0,0,,0,0,0,,,1020P,,BX,,,EB W FORDHAM RD @ JE,ROME AVE,0,1180,B,T,,,,RD,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9009870170,KLD1738,NY,PAS,09/16/2022,37,PICK,FORD,T,10810,34090,34110,20230119,10.0,10,10,368583,T102,O,0544P,0522P,NY,F,126,8th Ave,,0,408,H1,,YYYYYYY,,,GY,,2003,106271,0,99,37-Expired Parking Meter,,,
8821499558,KHL1398,NY,PAS,08/16/2022,71,PICK,CHEVR,T,59990,15190,15390,20221108,112.0,112,112,368495,T402,R,0523P,,Q,O,110-44,Queens Blvd,,0,408,J6,,YYYYYYY,,,WH,,2021,,0,A,71A-Insp Sticker Expired (NYS),,,
4820281409,HCD1839,NY,PAS,12/31/2022,36,4DSD,HONDA,V,0,13495,0,0,,0,0,0,,,0818P,,QN,,,EB QUEENS BLVD @ 66T,H RD,0,1180,B,T,,,,WH,,2011,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9014270197,GPU2896,NY,PAS,10/20/2022,71,4DSD,PONTI,T,19940,19990,20240,20221204,106.0,106,106,365926,T402,C,0954A,,Q,F,107-20,106th St,,0,408,J6,,YYYYYYY,,,BK,,1999,,0,38,71A-Insp Sticker Expired (NYS),,,
8794293612,GYH8384,NY,PAS,11/07/2022,21,SUBN,HONDA,T,49690,24140,24190,20230513,107.0,107,107,341140,T402,X,0815A,,Q,F,162-19,Hillside Ave,,0,408,D1,, YYYYYY,0800A,0900A,RD,,2022,,0,CC1,21-No Parking (street clean),,,
4819714375,KMB4414,NY,PAS,12/27/2022,36,SUBN,SUBAR,V,0,0,0,0,,0,0,0,,,0210P,,ST,,,NB STEUBEN ST @ RADC,LIFF RD,0,1180,B,T,,,,WH,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9016478875,16630NC,NY,COM,11/17/2022,37,VAN,RAM,T,20390,21690,13810,20230930,7.0,7,7,370846,T105,E,0139P,0114A,NY,F,64-66,Essex St,,0,408,H1,, YYYYYY,0900A,0700P,GY,,2021,102518,0,025,37-Expired Parking Meter,,,
4794517555,LRR9341,PA,PAS,08/21/2022,36,SW,GMC,V,0,0,0,0,,0,0,0,,,0704P,,QN,,,WB LIBERTY AVE @ 175,TH ST,0,1180,B,T,,,,,,2010,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9024402876,96106MB,NY,COM,12/29/2022,20,VAN,CHEVR,T,10410,18610,18630,88888888,19.0,19,19,370848,T103,FF,1246P,,NY,F,1001,5th Ave,,0,408,D,,YYYYYYY,0700A,0700P,WHITE,,2011,,0,17,20-No Parking (Com Plate),,,
8875597534,JFG2551,NY,PAS,07/18/2022,19,SUBN,CHEVR,T,35690,8990,9140,20230326,111.0,111,111,371255,T401,S,1235P,,Q,F,38-03,Bell Blvd,,0,408,C3,,YYYYYYY,,,BL,,2020,,0,43,19-No Stand (bus stop),,,
8874546348,KWS4865,NY,PAS,07/28/2022,21,4DSD,NISSA,T,60690,38990,10140,20240502,109.0,109,109,341921,T401,M,0924A,,Q,O,43-68,Robinson St,,0,408,D1,,    Y,0900A,1030A,BK,,2007,,0,B,21-No Parking (street clean),,,
4784689138,DZN1232,NY,PAS,06/28/2022,36,4DSD,PONTI,V,0,0,0,0,,0,0,0,,,1047A,,BX,,,EB CROSS BRONX EXPWY, EXT. @ LAFAYETTE AV,0,1180,B,T,,,,GY,,2003,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4803471034,4BVD25,MD,PAS,09/19/2022,36,2S,NISSA,V,0,0,0,0,,0,0,0,,,1027A,,BK,,,SB KNAPP ST @ HARKNE,SS AVE,0,1180,B,T,,,,,,2006,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9019938861,A91NDW,NJ,PAS,12/08/2022,38,SUBN,LEXUS,T,77150,8320,14820,88888888,49.0,49,49,367387,T201,Y,1113A,,BX,F,2722,White Plains Rd,,0,408,H1,, YYYYYY,0830A,0700P,GREY,,0,214143,0,15,38-Failure to Dsplay Meter Rec,,,
4821733249,E41RMM,NJ,PAS,01/09/2023,36,UT,HONDA,V,0,0,0,0,,0,0,0,,,1046A,,QN,,,EB ROCKAWAY BLVD @ 1,00TH ST,0,1180,B,T,,,,,,2022,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4789843300,KNV8512,NY,PAS,08/03/2022,36,SUBN,NISSA,V,0,0,0,0,,0,0,0,,,0656P,,QN,,,WB N CONDUIT AVE @ S,PRINGFIELD BLVD,0,1180,B,T,,,,PR,,2013,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4028260887,T783085C,NY,OMT,01/09/2023,5,4DSD,HYUND,V,0,0,0,0,,0,0,0,,,0455P,,BK,,,NB ROGERS AVE @ ERAS,MUS ST,0,1111,C,T,,,,WH,,2021,,0,,BUS LANE VIOLATION,,,
9021484067,KHM8553,NY,PAS,12/20/2022,46,SUBN,HONDA,T,76550,63820,44020,20241105,50.0,50,50,373174,T201,I,1223P,,BX,F,155W,W Kingsbridge Rd,,0,408,F1,,YYYYYYY,,,GY,,2008,,0,08,46A-Double Parking (Non-COM),,,
4815864822,KMB4276,NY,PAS,12/05/2022,36,SUBN,BMW,V,0,0,0,0,,0,0,0,,,0304P,,QN,,,NB VERNON BLVD @ 37T,H AVE,0,1180,B,T,,,,BK,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4788579832,33627MN,NY,COM,07/21/2022,36,PICK,GMC,V,0,0,0,0,,0,0,0,,,0741P,,QN,,,WB 26TH AVE @ 172ND,ST,0,1180,B,T,,,,BK,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4788320861,FXN2568,NY,PAS,07/22/2022,36,SUBN,FORD,V,0,0,0,0,,0,0,0,,,0944A,,BK,,,NB PENNSYLVANIA AVE,@ SUTTER AVE,0,1180,B,T,,,,BK,,2022,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4798134934,UCM8124,VA,PAS,09/06/2022,36,SD,HONDA,V,0,0,0,0,,0,0,0,,,0307A,,BK,,,SB PROSPECT PARK SOU,THWEST @ WINDSOR PL,0,1180,B,T,,,,RED,,2004,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4785364282,KFG6441,NY,PAS,07/01/2022,36,4DSD,VOLKS,V,0,0,0,0,,0,0,0,,,1131A,,BX,,,WB SEDGWICK AVE @ SA,XON AVE,0,1180,B,T,,,,RD,,2014,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4809523561,HCM8112,NY,PAS,10/28/2022,36,4DSD,AUDI,V,0,0,0,0,,0,0,0,,,0911P,,BK,,,NB BOERUM PL @ SCHER,MERHORN ST,0,1180,B,T,,,,BK,,2018,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
4800339224,QNAD68,FL,PAS,09/10/2022,36,UT,VOLVO,V,0,0,0,0,,0,0,0,,,0748A,,BK,,,NB FLATBUSH AVE @ E,37TH ST,0,1180,B,T,,,,SIL,,2021,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
9011807558,2997362,IN,PAS,10/19/2022,50,TRAC,INTER,T,0,0,0,88888888,104.0,104,104,363567,T402,D,0754A,,Q,I,N,Myrtle Ave,0ft W/of 60th St,0,408,E5,,YYYYYYY,,,WHITE,,0,,0,30,50-Crosswalk,,,
8924055434,GS48GM,NJ,PAS,01/26/2023,31,4DSD,NISSA,T,17910,10410,25390,88888888,17.0,17,17,363467,T730,F,0156P,,NY,F,12,E 46th St,,0,408,L3,, YYYYY,0700A,0600P,GREY,,0,,0,01,31-No Stand (Com. Mtr. Zone),,,
4788357379,KFS1894,NY,PAS,07/20/2022,36,4DSD,NISSA,V,0,0,0,0,,0,0,0,,,0646A,,MN,,,WB W 57TH ST @ 10TH,AVE,0,1180,B,T,,,,GY,,2020,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
8991346091,KKE1597,NY,PAS,12/21/2022,46,SUBN,TOYOT,T,56030,67030,64830,20230209,77.0,77,77,375301,T301,I,1103A,,K,F,858,Lincoln Pl,,0,408,F1,,YYYYYYY,,,RD,,2005,,0,19,46A-Double Parking (Non-COM),,,
9009041839,13467MK,NY,COM,10/26/2022,69,VAN,FORD,T,34730,13610,10810,20230331,18.0,18,18,370868,T106,G,0804A,,NY,O,244,W 48th St,,0,408,H1,, YYYYY,0700A,0600P,WH,,2017,102528,0,03,69-Fail to Dsp Prking Mtr Rcpt,,,
4794232240,JKD3949,NY,PAS,08/21/2022,36,4DSD,DODGE,V,0,0,0,0,,0,0,0,,,1242A,,QN,,,SB HOLLIS CT BLVD @,91ST AVE,0,1180,B,T,,,,OR,,2019,,0,,PHTO SCHOOL ZN SPEED VIOLATION,,,
